,link,headline,summary,date
190,https://www.nytimes.com/video/business/100000000937355/the-fallout-for-the-bskyb-deal.html,The Fallout for the BSkyB Deal,"As the British public and politicians queue to criticize Rupert Murdoch's media empire in the wake of a phone-hacking scandal, a proposed acquisition of broadcaster BSkyB by News Corp. may be killed.",
184,https://www.nytimes.com/interactive/technology/20130204-billion-interactive.html,Billion-Dollar Ideas,A look at a few markets in the technology industry that are creating numerous billion-dollar companies.,
1009,http://query.nytimes.com/gst/fullpage.html?res=9A0DE4DB143EF932A2575BC0A9639C8B63,BUSINESS DIGEST,"In Laboratories, Food Scientists Are Working on Tomorrow's Dinner With two-thirds of Americans overweight, and yet many professing a desire to eat healthier, every major food manufacturer and food ingredient company has ordered its food scientists to find products that either have less bad stuff -- fat, white flour, sugar and salt -- or more good stuff like whole grains, fiber, even fish oil. [Page A1.] Goldman to Build Near Trade Center Site Goldman Sachs has agreed to build a $2 billion headquarters across the street from the former World Trade Center site, reversing an earlier decision to abandon its building plans. [A1.] Unocal Shareholders Accept Chevron Offer Shareholders of Unocal, the California-based oil independent, have approved a takeover offer from Chevron worth about $18 billion. Unocal's vote ends months of uncertainty after a takeover attempt by Cnooc, a Chinese government-owned oil company, set off a fierce lobbying and political battle. [C1.] Ex-F.C.C. Chairman to Join Investment Firm Michael K. Powell, who stepped down as chairman of the Federal Communications Commission in January, is joining Providence Equity Partners, a private equity firm that has built a $9 billion empire of holdings in media and telecommunications companies. [C1.] KPMG May Avoid Indictment in Tax Shelters Negotiations between federal prosecutors and KPMG, the accounting firm facing possible criminal charges for its role in marketing questionable tax shelters, appear to have ruled out an indictment of the firm. [C1.] High-Definition TV: The Home Edition For those who think high-definition TV is the greatest invention since the microwave, but want the size, shape and price of a regular camcorder, Sony now has the HDR-HC1. David Pogue. [C1.] Uniform Company Seeks New Ways to Grow Cintas, a uniform laundering and delivery company, has posted 36 years of uninterrupted sales and profit growth. But now growth has slowed, prompting the company to offer business services like document storage and to sell washroom and safety supplies and uniforms. [C1. Whirlpool Raises Its Offer for Maytag Whirlpool sweetened its bid for Maytag to $1.68 billion as the takeover battle for the appliance maker continued to escalate. [C3.] Federated's Profit Leaps, as Expected Federated Department Stores, parent of Macy's and Bloomingdale's, said its quarterly profit jumped 90 percent, meeting Wall Street forecasts, on strong summer clothing sales. The company earned $148 million, or 84 cents a share, in the second quarter that ended July 30. Federated said it would not provide profit forecasts for the second half of the year until its pending $11 billion deal to acquire May Department Stores was completed. [C2.] Oil Prices Spike on Concern About Supplies Oil prices surged nearly $2 a barrel after a government report rekindled fears that summer demand and refinery shutdowns could tighten gasoline supplies. Crude oil futures hit $65 a barrel before settling at $64.90. [C7.] Soaring oil prices choked off an early rally on Wall Street, while the Nasdaq composite index was hurt by a disappointing forecast from Cisco Systems. The Dow fell 21.26 points, or 0.2 percent, to 10,594.41 and the Nasdaq composite index dropped 16.38, or 0.75 percent, to 2,157.81. [C7.] News Corp. Blocks a Larger Liberty Media Stake Rupert Murdoch, left, extended a shareholder rights plan or ''poison pill'' that blocks the largest shareholder in the News Corporation, the Liberty Media Corporation of John C. Malone, from buying more shares. But there is a consolation prize: The News Corporation reported strong earnings that exceeded analyst expectations, increased its dividend and projected solid growth in the year ahead. [C5.] Report Details Problems at Krispy Kreme A report from an internal investigation has detailed for the first time the accounting errors and failures in leadership at Krispy Kreme that occurred as it was rapidly expanding and dazzling investors. Market Place. [C7.] Hilfiger Reaches Agreement on Tax Issue The Tommy Hilfiger Corporation, whose commissions to its overseas subsidiaries have been under federal investigation for nearly a year, said that it had signed a non-prosecution agreement with the United States attorney's office and that it would not face criminal tax charges. [C3.] Steel Maker Blames Glut for Drop in Profit Mittal Steel, the world's largest steel producer, reported a drop in profit that it attributed to a global steel glut, but the company predicted that the market would firm up by the end of the year. Net income for the three months that ended June 30 was $1.1 billion, down 15 percent from a year ago, the company said. [C4.]",
253,https://www.nytimes.com/video/world/europe/100000000949139/the-world-this-week.html,The World This Week,A look back at the big news stories of the week.,
119,http://query.nytimes.com/gst/fullpage.html?res=9F02E2DB1331F935A3575BC0A9679D8B63,Murdoch Daughter Won't Run As News Corp. Board Nominee,"In a change to her father's plans, Elisabeth Murdoch will not be nominated this year to the board of the News Corporation, a member of the board said Friday. The News Corporation is scrambling to contain the damage from a British hacking scandal that has inspired shareholder complaints about the company's corporate governance. Two of Rupert Murdoch's six children, Lachlan and James, sit on the board of the News Corporation alongside him. When Mr. Murdoch acquired Ms. Murdoch's company, the Shine Group, in February for $674 million, he said that he expected her to join them.",
254,https://www.nytimes.com/video/multimedia/100000000943406/timescast--july-13-2011.html,"TimesCast | July 13, 2011","Prime Minister David Cameron of Britain details a wide-reaching public inquiry into the phone-hacking scandal, and News Corporation drops its bid for BSkyB.",
256,https://www.nytimes.com/video/world/europe/100000000961484/timescast--james-murdoch-under-scrutiny.html,TimesCast | James Murdoch Under Scrutiny,"July 22, 2011 - News Corporation executive James Murdoch's testimony before parliament is now under question.",
988,http://query.nytimes.com/gst/fullpage.html?res=980CE7DC1E3FF934A35756C0A9609C8B63,Banner Years For Hofstra Softball,"UNTIL this year, each conference softball championship at Hofstra was commemorated with a banner on the outfield fence at its stadium. But Hofstra softball has been so good for so long that banners crowded the fence from foul line to foul line. To create more room, Coach Bill Edwards had references to all 14 conference championships crammed onto two banners. The blue fence, with additional banners for each of the nine teams that went to the National Collegiate Athletic Association tournament, remains a place for Hofstra to crow.",
989,http://query.nytimes.com/gst/fullpage.html?res=9E0DEFDF1F3BF93BA35751C0A9639C8B63,Offer for Fox Is Extended,The News Corporation said yesterday that it would extend until March 4 its offer to buy the 18 percent of Fox Entertainment Group shares it does not already own.,
298,https://www.nytimes.com/video/business/media/100000000785708/media-decoder.html,"A Kinder, Gentler 'American Idol'","With ratings up this season, the kindler, gentler American Idol judges are defying expectations.",
