fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2005-05-12,0000732717,2005-05-12,8-K,SBC COMMUNICATIONS INC,161920.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000282.txt
2005-05-27,0000732717,2005-05-27,8-K,SBC COMMUNICATIONS INC,17728.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000293.txt
2005-05-27,0000732717,2005-05-27,8-K,SBC COMMUNICATIONS INC,410490.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000950134-05-011010.txt
2005-06-06,0000732717,2005-06-06,8-K,SBC COMMUNICATIONS INC,95292.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000950134-05-011436.txt
2005-06-16,0000732717,2005-06-16,8-K,SBC COMMUNICATIONS INC,19199.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000325.txt
2005-06-21,0000732717,2005-06-21,8-K,SBC COMMUNICATIONS INC,22979.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000355.txt
2005-06-29,0000732717,2005-06-29,8-K,SBC COMMUNICATIONS INC,15595.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000363.txt
2005-07-21,0000732717,2005-07-21,8-K,SBC COMMUNICATIONS INC,441831.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000394.txt
2005-08-05,0000732717,2005-08-05,10-Q,SBC COMMUNICATIONS INC,1413525.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000397.txt
2005-08-24,0000732717,2005-08-24,8-K,SBC COMMUNICATIONS INC,241459.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000402.txt
2005-08-24,0000732717,2005-08-24,8-K,SBC COMMUNICATIONS INC,519175.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000403.txt
2005-10-20,0000732717,2005-10-20,8-K,SBC COMMUNICATIONS INC,464075.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000406.txt
2005-11-04,0000732717,2005-11-04,10-Q,SBC COMMUNICATIONS INC,1627850.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000412.txt
2005-11-04,0000732717,2005-11-04,8-K,SBC COMMUNICATIONS INC,244706.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000413.txt
2005-11-04,0000732717,2005-11-04,8-K,SBC COMMUNICATIONS INC,538091.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000414.txt
2005-11-15,0000732717,2005-11-15,8-K,SBC COMMUNICATIONS INC,297450.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0000950134-05-021571.txt
2005-11-21,0000732717,2005-11-21,8-K,AT&T INC.,23832.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000422.txt
2005-11-21,0000732717,2005-11-21,8-K,AT&T INC.,125316.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-05-013901.txt
2005-11-28,0000732717,2005-11-28,8-K,AT&T INC.,15709.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000424.txt
