fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2005-12-16,0001308161,2005-12-16,8-K,NEWS CORP,21277.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-067260.txt
2005-12-19,0001308161,2005-12-19,8-K,NEWS CORP,21357.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-067519.txt
2005-12-20,0001308161,2005-12-20,8-K,NEWS CORP,21275.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-067846.txt
2005-12-20,0001308161,2005-12-20,8-K,NEWS CORP,102403.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-245704.txt
2005-12-21,0001308161,2005-12-21,8-K,NEWS CORP,16980.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-067925.txt
2005-12-21,0001308161,2005-12-21,8-K,NEWS CORP,21188.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-068016.txt
2005-12-22,0001308161,2005-12-22,8-K,NEWS CORP,21209.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-068316.txt
2005-12-23,0001308161,2005-12-23,8-K,NEWS CORP,21298.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-068717.txt
2005-12-28,0001308161,2005-12-28,8-K,NEWS CORP,21272.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-069066.txt
2005-12-28,0001308161,2005-12-28,8-K,NEWS CORP,19187.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-069067.txt
2005-12-29,0001308161,2005-12-29,8-K,NEWS CORP,21313.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-069214.txt
2005-12-30,0001308161,2005-12-30,8-K,NEWS CORP,21296.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-069428.txt
2006-01-03,0001308161,2006-01-03,8-K,NEWS CORP,21287.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-000093.txt
2006-02-08,0001308161,2006-02-08,8-K,NEWS CORP,401951.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-06-023794.txt
2006-02-09,0001308161,2006-02-09,10-Q,NEWS CORP,1767572.0,10.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-06-024076.txt
2006-02-10,0001308161,2006-02-10,8-K,NEWS CORP,21162.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-010281.txt
2006-02-13,0001308161,2006-02-13,8-K,NEWS CORP,21111.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-010733.txt
2006-02-14,0001308161,2006-02-14,8-K,NEWS CORP,21146.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-011249.txt
2006-02-15,0001308161,2006-02-15,8-K,NEWS CORP,21117.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-011669.txt
2006-02-16,0001308161,2006-02-16,8-K,NEWS CORP,21133.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-012161.txt
2006-02-17,0001308161,2006-02-17,8-K,NEWS CORP,21129.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-012627.txt
2006-02-21,0001308161,2006-02-21,8-K,NEWS CORP,28558.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-013154.txt
2006-02-22,0001308161,2006-02-22,8-K,NEWS CORP,21123.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-013465.txt
2006-02-23,0001308161,2006-02-23,8-K,NEWS CORP,21100.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-013898.txt
2006-02-24,0001308161,2006-02-24,8-K,NEWS CORP,21132.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-014080.txt
2006-02-24,0001308161,2006-02-24,8-K,NEWS CORP,22287.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-06-038456.txt
2006-02-27,0001308161,2006-02-27,8-K,NEWS CORP,21087.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-014429.txt
2006-02-28,0001308161,2006-02-28,8-K,NEWS CORP,21102.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-014905.txt
2006-03-01,0001308161,2006-03-01,8-K,NEWS CORP,21074.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-015234.txt
2006-03-01,0001308161,2006-03-01,8-K,NEWS CORP,12334.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-015235.txt
2006-03-02,0001308161,2006-03-02,8-K,NEWS CORP,21114.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-015619.txt
2006-03-03,0001308161,2006-03-03,8-K,NEWS CORP,21042.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-015952.txt
2006-03-06,0001308161,2006-03-06,8-K,NEWS CORP,21084.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-016453.txt
2006-03-07,0001308161,2006-03-07,8-K,NEWS CORP,21061.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-016625.txt
2006-03-08,0001308161,2006-03-08,8-K,NEWS CORP,21069.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-016846.txt
2006-03-09,0001308161,2006-03-09,8-K,NEWS CORP,21065.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-017163.txt
2006-03-10,0001308161,2006-03-10,8-K,NEWS CORP,21010.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-017379.txt
2006-03-13,0001308161,2006-03-13,8-K,NEWS CORP,21142.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-017610.txt
2006-03-14,0001308161,2006-03-14,8-K,NEWS CORP,21083.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-017952.txt
2006-03-15,0001308161,2006-03-15,8-K,NEWS CORP,21107.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-018225.txt
2006-03-16,0001308161,2006-03-16,8-K,NEWS CORP,21091.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-018438.txt
2006-03-17,0001308161,2006-03-17,8-K,NEWS CORP,21094.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-06-018650.txt
